date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:46	157170/157170	---M--	200	added ('OK')	application/pdf	etag:%22265f2-49fb611c79780%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps5.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps5.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:47	1982/1982	---M--	200	added ('OK')	text/x-tex	etag:%227be-49fb45849bdc0%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps5-template.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps5-template.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:48	91369/91369	---M--	200	added ('OK')	application/pdf	etag:%22164e9-4a0c3edf27780%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps5_sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps5_sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:49	45184/45184	---M--	200	added ('OK')	application/pdf	etag:%22b080-4a0c3ee3ec2c0%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps5_solb.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps5_solb.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:51	162935/162935	---M--	200	added ('OK')	application/pdf	etag:%2227c77-4a0bfff951280%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps6.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps6.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:52	1914/1914	---M--	200	added ('OK')	text/x-tex	etag:%2277a-4a0bfff85d040%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps6-template.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps6-template.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:52	71059/71059	---M--	200	added ('OK')	application/x-gzip	etag:%2211593-4a0bfff951280%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps6b_code.tgz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps6b_code.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:52	2837574/2837574	---M--	200	added ('OK')	application/x-gzip	etag:%222b4c46-49fb612ac7940%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps5_code.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps5_code.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:54	185670/185670	---M--	200	added ('OK')	application/pdf	etag:%222d546-4a3289626ff00%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps6_sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps6_sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:54	70010/70010	---M--	200	added ('OK')	application/pdf	etag:%221117a-4a21041fb3040%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps7.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps7.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:55	1618/1618	---M--	200	added ('OK')	text/x-tex	etag:%22652-4a29af3746f00%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps7-template.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps7-template.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:57	111060/111060	---M--	200	added ('OK')	application/pdf	etag:%221b1d4-4a3289b0a3780%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps7_sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps7_sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
